group_desc,commodity_desc,class_desc,prodn_practice_desc,statisticcat_desc,unit_desc,domain_desc,domaincat_desc
PRODUCERS,"PRODUCERS, PRINCIPAL",BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",BLACK OR AFRICAN AMERICAN,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",FEMALE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",FEMALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",FEMALE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",HISPANIC,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",HISPANIC,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",HISPANIC,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MALE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MALE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MALE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL","MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL","MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL","MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL","MILITARY SERVICE, NEVER SERVED OR ONLY ON ACTIVE DUTY FOR TRAINING IN RESERVES OR NATIONAL GUARD",ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MULTI-RACE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MULTI-RACE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",MULTI-RACE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",WHITE,ALL PRODUCTION PRACTICES,AREA OPERATED,ACRES,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",WHITE,ALL PRODUCTION PRACTICES,OPERATIONS,OPERATIONS,TOTAL,NOT SPECIFIED
PRODUCERS,"PRODUCERS, PRINCIPAL",WHITE,ALL PRODUCTION PRACTICES,PRODUCERS,PRODUCERS,TOTAL,NOT SPECIFIED
SPECIALTY,EQUINE,(HORSES & PONIES) & (MULES & BURROS & DONKEYS),ALL PRODUCTION PRACTICES,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
SPECIALTY,EQUINE,(HORSES & PONIES) & (MULES & BURROS & DONKEYS),ALL PRODUCTION PRACTICES,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
SPECIALTY,EQUINE,HORSES & PONIES,ALL PRODUCTION PRACTICES,INVENTORY,HEAD,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
SPECIALTY,SPECIALTY ANIMAL TOTALS,(EXCL EQUINE),ALL PRODUCTION PRACTICES,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
SPECIALTY,SPECIALTY ANIMAL TOTALS,(EXCL EQUINE),ALL PRODUCTION PRACTICES,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,POTATOES,ALL CLASSES,ALL PRODUCTION PRACTICES,AREA HARVESTED,ACRES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,SQUASH,ALL CLASSES,ALL PRODUCTION PRACTICES,AREA HARVESTED,ACRES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,SWEET CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,AREA HARVESTED,ACRES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,VEGETABLE TOTALS,ALL CLASSES,IN THE OPEN,AREA HARVESTED,ACRES,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,VEGETABLE TOTALS,INCL SEEDS & TRANSPLANTS,IN THE OPEN,SALES,$,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
VEGETABLES,VEGETABLE TOTALS,INCL SEEDS & TRANSPLANTS,IN THE OPEN,SALES,OPERATIONS,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)"
